127.0.0.1 - - [05/May/2022:21:39:43 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/homespace/images/property_3-min.jpg HTTP/1.1" 200 239354
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/property/images/person_1.jpg HTTP/1.1" 200 69976
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/property/images/person_2.jpg HTTP/1.1" 200 60112
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/homespace/images/subtle_zebra_3d.png HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:18 +0900] "GET /resources/assets/property/fonts/icomoon/fonts/icomoon.ttf?10si43 HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:19 +0900] "GET /resources/assets/property/fonts/flaticon/font/Flaticon.woff2 HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:19 +0900] "GET /resources/assets/homespace/images/property_2-min.jpg HTTP/1.1" 200 189376
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:19 +0900] "GET /resources/assets/homespace/images/property_3-min.jpg HTTP/1.1" 200 239354
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:20 +0900] "GET /resources/assets/homespace/favicon.png HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:52 +0900] "GET /pension/list HTTP/1.1" 200 152075
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:52 +0900] "GET /resources/assets/homespace/css/bootstrap.min.css HTTP/1.1" 200 159477
0:0:0:0:0:0:0:1 - - [05/May/2022:21:40:52 +0900] "GET /resources/assets/homespace/css/owl.carousel.min.css HTTP/1.1" 200 2936
